"address_id","district","city_id","city"
9,"Nantou",361,"Nantou"
12,"Hamilton",200,"Hamilton"
13,"Masqat",329,"Masqat"
14,"Esfahan",162,"Esfahan"
17,"Osmaniye",384,"Osmaniye"
22,"Kaduna",252,"Kaduna"
25,"Dhaka",525,"Dhaka"
27,"Liepaja",303,"Liepaja"
28,"Crdoba",128,"Crdoba"
38,"Okayama",284,"Okayama"
42,"Chisinau",115,"Chisinau"
45,"Yerevan",586,"Yerevan"
48,"Lipetsk",308,"Lipetsk"
49,"Antofagasta",27,"Antofagasta"
61,"Vaduz",560,"Vaduz"
69,"Cayenne",105,"Cayenne"
73,"Bchar",63,"Bchar"
77,"Chiayi",114,"Chiayi"
79,"Changhwa",108,"Changhwa"
80,"Pavlodar",402,"Pavlodar"
85,"Mahajanga",319,"Mahajanga"
90,"Songkhla",489,"Songkhla"
91,"Sucre",480,"Sucre"
92,"Cheju",113,"Cheju"
101,"Tete",534,"Tete"
102,"Abu Dhabi",12,"Abu Dhabi"
104,"Lipetsk",238,"Lipetsk"
109,"Funafuti",173,"Funafuti"
110,"Ivanovo",225,"Ivanovo"
117,"Sucre",132,"Sucre"
126,"Lima",305,"Lima"
128,"Ktahya",281,"Ktahya"
131,"Smolensk",484,"Smolensk"
145,"Hiroshima",172,"Hiroshima"
147,"Kilis",266,"Kilis"
152,"Saint-Denis",442,"Saint-Denis"
159,"Bern",72,"Bern"
168,"Adana",529,"Adana"
169,"Xinxiang",199,"Xinxiang"
170,"Lilongwe",304,"Lilongwe"
176,"Batman",58,"Batman"
180,"Skikda",483,"Skikda"
191,"Sumy",506,"Sumy"
194,"Tabora",513,"Tabora"
203,"Haiphong",194,"Haiphong"
208,"Usak",557,"Usak"
214,"Aden",7,"Aden"
217,"Taizz",518,"Taizz"
226,"Jaroslavl",235,"Jaroslavl"
230,"Asuncin",37,"Asuncin"
232,"Phnom Penh",406,"Phnom Penh"
234,"Botosani",86,"Botosani"
236,"Kaduna",596,"Kaduna"
253,"Tianjin",535,"Tianjin"
271,"Salzburg",447,"Salzburg"
287,"Ponce",411,"Ponce"
288,"Xinxiang",277,"Xinxiang"
297,"Sharja",470,"Sharja"
304,"Hiroshima",205,"Hiroshima"
306,"Kaliningrad",254,"Kaliningrad"
308,"Sanaa",455,"Sanaa"
309,"Callao",99,"Callao"
316,"Kursk",286,"Kursk"
317,"Tabuk",515,"Tabuk"
332,"Adana",5,"Adana"
334,"Dhaka",234,"Dhaka"
336,"Santa F",457,"Santa F"
337,"Dhaka",143,"Dhaka"
339,"Sumqayit",505,"Sumqayit"
340,"Sousse",492,"Sousse"
342,"Hiroshima",382,"Hiroshima"
345,"Hanoi",201,"Hanoi"
352,"Daugavpils",137,"Daugavpils"
358,"Hidalgo",393,"Hidalgo"
362,"Bratislava",90,"Bratislava"
365,"Arecibo",32,"Arecibo"
370,"Okinawa",377,"Okinawa"
371,"Balikesir",50,"Balikesir"
373,"Esfahan",356,"Esfahan"
381,"Kurgan",285,"Kurgan"
382,"Kermanshah",265,"Kermanshah"
388,"Namibe",360,"Namibe"
395,"Nakhon Sawan",358,"Nakhon Sawan"
397,"Addis Abeba",6,"Addis Abeba"
400,"al-Qadarif",15,"al-Qadarif"
428,"Sawhaj",465,"Sawhaj"
434,"Okayama",547,"Okayama"
442,"La Romana",290,"La Romana"
446,"Batna",59,"Batna"
457,"Abu Dhabi",3,"Abu Dhabi"
460,"La Paz",153,"La Paz"
461,"Ziguinchor",600,"Ziguinchor"
464,"Esfahan",423,"Esfahan"
475,"Hodeida",206,"Hodeida"
480,"Sumy",385,"Sumy"
485,"Gaziantep",180,"Gaziantep"
486,"Mwanza",347,"Mwanza"
488,"Denizli",142,"Denizli"
494,"Okayama",376,"Okayama"
512,"Eskisehir",163,"Eskisehir"
521,"Coquimbo",127,"Coquimbo"
522,"Battambang",60,"Battambang"
524,"Sivas",482,"Sivas"
533,"Mogiljov",339,"Mogiljov"
534,"Benguela",67,"Benguela"
546,"Ruse",436,"Ruse"
551,"Sumy",275,"Sumy"
572,"Tokat",538,"Tokat"
588,"Hidalgo",212,"Hidalgo"
590,"Banjul",54,"Banjul"
592,"Nantou",546,"Nantou"
595,"Loja",311,"Loja"
596,"al-Manama",14,"al-Manama"
