"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
17,"Alone Trip","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House",2006,1,3,"0.99",82,"14.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'abandon':22 'alon':1 'boat':19 'charact':7 'compos':11 'dog':14 'fast':5 'fast-pac':4 'fun':23 'hous':24 'must':16 'outgun':17 'pace':6 'studi':8 'trip':2"
28,"Anthem Luke","A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park",2006,1,5,"4.99",91,"16.99","PG-13","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'abandon':19 'amus':20 'anthem':1 'dog':16 'luke':2 'must':13 'outrac':14 'panorama':5 'park':21 'touch':4 'waitress':8 'woman':11"
32,"Apocalypse Flamingos","A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park",2006,1,6,"4.99",119,"11.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':19 'amus':20 'apocalyps':1 'astound':4 'defeat':14 'dog':8 'flamingo':2 'must':13 'park':21 'squirrel':11 'stori':5 'woman':16"
55,"Barbarella Streetcar","A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery",2006,1,6,"2.99",65,"27.99","G","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'awe':5 'awe-inspir':4 'barbarella':1 'cat':13 'conquer':16 'dog':18 'feminist':10 'inspir':6 'monasteri':21 'must':15 'stori':7 'streetcar':2"
59,"Bear Graceland","A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station",2006,1,4,"2.99",160,"20.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'astound':4 'bear':1 'boy':11 'dog':8 'first':19 'graceland':2 'kill':14 'man':20 'must':13 'saga':5 'space':21 'station':22 'teacher':16"
62,"Bed Highball","A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House",2006,1,5,"2.99",106,"23.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'abandon':19 'astound':4 'bed':1 'dog':11 'fun':20 'highbal':2 'hous':21 'lumberjack':8 'must':13 'panorama':5 'redeem':14 'woman':16"
74,"Birch Antitrust","A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon",2006,1,4,"4.99",162,"18.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'antitrust':2 'baloon':19 'birch':1 'dog':16 'fanci':4 'husband':8 'must':13 'outgun':14 'panorama':5 'pioneer':11"
77,"Birds Perdition","A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California",2006,1,5,"4.99",61,"15.99","G","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'bird':1 'bore':4 'california':18 'dog':16 'face':14 'must':13 'perdit':2 'pioneer':11 'stori':5 'woman':8"
84,"Boiled Dares","A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan",2006,1,7,"4.99",102,"13.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'ancient':20 'awe':5 'awe-inspir':4 'boil':1 'dare':2 'dentist':18 'discov':16 'dog':13 'inspir':6 'japan':21 'must':15 'stori':7 'waitress':10"
93,"Brannigan Sunrise","A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin",2006,1,4,"4.99",121,"27.99","PG","2013-05-26 14:50:58.951","{Trailers}","'amaz':4 'berlin':18 'brannigan':1 'crocodil':11 'dog':16 'epistl':5 'moos':8 'must':13 'outrac':14 'sunris':2"
94,"Braveheart Human","A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin",2006,1,7,"2.99",176,"14.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'battl':15 'berlin':19 'braveheart':1 'chef':12 'dog':8 'girl':17 'human':2 'insight':4 'must':14 'pastri':11 'stori':5"
131,"Center Dinosaur","A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California",2006,1,5,"4.99",152,"12.99","PG","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'beauti':4 'california':20 'center':1 'charact':5 'dentist':13 'dinosaur':2 'dog':18 'find':16 'must':15 'studi':6 'sumo':9 'wrestler':10"
134,"Champion Flatliners","A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery",2006,1,4,"4.99",51,"21.99","PG","2013-05-26 14:50:58.951","{Trailers}","'amaz':4 'champion':1 'cow':9 'dog':12 'flatlin':2 'husband':17 'kill':15 'mad':8 'monasteri':20 'must':14 'stori':5"
136,"Chaplin License","A Boring Drama of a Dog And a Forensic Psychologist who must Outrace a Explorer in Ancient India",2006,1,7,"2.99",146,"26.99","NC-17","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'ancient':19 'bore':4 'chaplin':1 'dog':8 'drama':5 'explor':17 'forens':11 'india':20 'licens':2 'must':14 'outrac':15 'psychologist':12"
137,"Charade Duffel","A Action-Packed Display of a Man And a Waitress who must Build a Dog in A MySQL Convention",2006,1,3,"2.99",66,"21.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'action':5 'action-pack':4 'build':16 'charad':1 'convent':22 'display':7 'dog':18 'duffel':2 'man':10 'must':15 'mysql':21 'pack':6 'waitress':13"
140,"Cheaper Clyde","A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan",2006,1,6,"0.99",87,"23.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'ancient':19 'charact':5 'cheaper':1 'clyde':2 'discov':15 'dog':17 'emot':4 'girl':12 'japan':20 'must':14 'pioneer':9 'studi':6"
142,"Chicken Hellfighters","A Emotional Drama of a Dog And a Explorer who must Outrace a Technical Writer in Australia",2006,1,3,"0.99",122,"24.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'australia':19 'chicken':1 'dog':8 'drama':5 'emot':4 'explor':11 'hellfight':2 'must':13 'outrac':14 'technic':16 'writer':17"
187,"Cranes Reservoir","A Fanciful Documentary of a Teacher And a Dog who must Outgun a Forensic Psychologist in A Baloon Factory",2006,1,5,"2.99",57,"12.99","NC-17","2013-05-26 14:50:58.951","{Commentaries}","'baloon':20 'crane':1 'documentari':5 'dog':11 'factori':21 'fanci':4 'forens':16 'must':13 'outgun':14 'psychologist':17 'reservoir':2 'teacher':8"
192,"Crossing Divorce","A Beautiful Documentary of a Dog And a Robot who must Redeem a Womanizer in Berlin",2006,1,4,"4.99",50,"19.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'beauti':4 'berlin':18 'cross':1 'divorc':2 'documentari':5 'dog':8 'must':13 'redeem':14 'robot':11 'woman':16"
205,"Dances None","A Insightful Reflection of a A Shark And a Dog who must Kill a Butler in An Abandoned Amusement Park",2006,1,3,"0.99",58,"22.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'abandon':20 'amus':21 'butler':17 'danc':1 'dog':12 'insight':4 'kill':15 'must':14 'none':2 'park':22 'reflect':5 'shark':9"
207,"Dangerous Uptown","A Unbelieveable Story of a Mad Scientist And a Woman who must Overcome a Dog in California",2006,1,7,"4.99",121,"26.99","PG","2013-05-26 14:50:58.951","{Commentaries}","'california':19 'danger':1 'dog':17 'mad':8 'must':14 'overcom':15 'scientist':9 'stori':5 'unbeliev':4 'uptown':2 'woman':12"
210,"Darko Dorado","A Stunning Reflection of a Frisbee And a Husband who must Redeem a Dog in New Orleans",2006,1,3,"4.99",130,"13.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'darko':1 'dog':16 'dorado':2 'frisbe':8 'husband':11 'must':13 'new':18 'orlean':19 'redeem':14 'reflect':5 'stun':4"
223,"Desire Alien","A Fast-Paced Tale of a Dog And a Forensic Psychologist who must Meet a Astronaut in The First Manned Space Station",2006,1,7,"2.99",76,"24.99","NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'alien':2 'astronaut':19 'desir':1 'dog':10 'fast':5 'fast-pac':4 'first':22 'forens':13 'man':23 'meet':17 'must':16 'pace':6 'psychologist':14 'space':24 'station':25 'tale':7"
245,"Double Wrath","A Thoughtful Yarn of a Womanizer And a Dog who must Challenge a Madman in The Gulf of Mexico",2006,1,4,"0.99",177,"28.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'challeng':14 'dog':11 'doubl':1 'gulf':19 'madman':16 'mexico':21 'must':13 'thought':4 'woman':8 'wrath':2 'yarn':5"
258,"Drums Dynamite","A Epic Display of a Crocodile And a Crocodile who must Confront a Dog in An Abandoned Amusement Park",2006,1,6,"0.99",96,"11.99","PG","2013-05-26 14:50:58.951","{Trailers}","'abandon':19 'amus':20 'confront':14 'crocodil':8,11 'display':5 'dog':16 'drum':1 'dynamit':2 'epic':4 'must':13 'park':21"
259,"Duck Racer","A Lacklusture Yarn of a Teacher And a Squirrel who must Overcome a Dog in A Shark Tank",2006,1,4,"2.99",116,"15.99","NC-17","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'dog':16 'duck':1 'lacklustur':4 'must':13 'overcom':14 'racer':2 'shark':19 'squirrel':11 'tank':20 'teacher':8 'yarn':5"
264,"Dwarfs Alter","A Emotional Yarn of a Girl And a Dog who must Challenge a Composer in Ancient Japan",2006,1,6,"2.99",101,"13.99","G","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'alter':2 'ancient':18 'challeng':14 'compos':16 'dog':11 'dwarf':1 'emot':4 'girl':8 'japan':19 'must':13 'yarn':5"
279,"Elizabeth Shane","A Lacklusture Display of a Womanizer And a Dog who must Face a Sumo Wrestler in Ancient Japan",2006,1,7,"4.99",152,"11.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'ancient':19 'display':5 'dog':11 'elizabeth':1 'face':14 'japan':20 'lacklustur':4 'must':13 'shane':2 'sumo':16 'woman':8 'wrestler':17"
