"first_name","name_length","name_category"
"Jared",5,"Long"
"Mary",4,"Short"
"Patricia",8,"Long"
"Linda",5,"Long"
"Barbara",7,"Long"
"Elizabeth",9,"Long"
"Jennifer",8,"Long"
"Maria",5,"Long"
"Susan",5,"Long"
"Margaret",8,"Long"
"Dorothy",7,"Long"
"Lisa",4,"Short"
"Nancy",5,"Long"
"Karen",5,"Long"
"Betty",5,"Long"
"Helen",5,"Long"
"Sandra",6,"Long"
"Donna",5,"Long"
"Carol",5,"Long"
"Ruth",4,"Short"
"Sharon",6,"Long"
"Michelle",8,"Long"
"Laura",5,"Long"
"Sarah",5,"Long"
"Kimberly",8,"Long"
"Deborah",7,"Long"
"Jessica",7,"Long"
"Shirley",7,"Long"
"Cynthia",7,"Long"
"Angela",6,"Long"
"Melissa",7,"Long"
"Brenda",6,"Long"
"Amy",3,"Short"
"Anna",4,"Short"
"Rebecca",7,"Long"
"Virginia",8,"Long"
"Kathleen",8,"Long"
"Pamela",6,"Long"
"Martha",6,"Long"
"Debra",5,"Long"
"Amanda",6,"Long"
"Stephanie",9,"Long"
"Carolyn",7,"Long"
"Christine",9,"Long"
"Marie",5,"Long"
"Janet",5,"Long"
"Catherine",9,"Long"
"Frances",7,"Long"
"Ann",3,"Short"
"Joyce",5,"Long"
"Diane",5,"Long"
"Alice",5,"Long"
"Julie",5,"Long"
"Heather",7,"Long"
"Teresa",6,"Long"
"Doris",5,"Long"
"Gloria",6,"Long"
"Evelyn",6,"Long"
"Jean",4,"Short"
"Cheryl",6,"Long"
"Mildred",7,"Long"
"Katherine",9,"Long"
"Joan",4,"Short"
"Ashley",6,"Long"
"Judith",6,"Long"
"Rose",4,"Short"
"Janice",6,"Long"
"Kelly",5,"Long"
"Nicole",6,"Long"
"Judy",4,"Short"
"Christina",9,"Long"
"Kathy",5,"Long"
"Theresa",7,"Long"
"Beverly",7,"Long"
"Denise",6,"Long"
"Tammy",5,"Long"
"Irene",5,"Long"
"Jane",4,"Short"
"Lori",4,"Short"
"Rachel",6,"Long"
"Marilyn",7,"Long"
"Andrea",6,"Long"
"Kathryn",7,"Long"
"Louise",6,"Long"
"Sara",4,"Short"
"Anne",4,"Short"
"Jacqueline",10,"Long"
"Wanda",5,"Long"
"Bonnie",6,"Long"
"Julia",5,"Long"
"Ruby",4,"Short"
"Lois",4,"Short"
"Tina",4,"Short"
"Phyllis",7,"Long"
"Norma",5,"Long"
"Paula",5,"Long"
"Diana",5,"Long"
"Annie",5,"Long"
"Lillian",7,"Long"
"Emily",5,"Long"
"Robin",5,"Long"
"Peggy",5,"Long"
"Crystal",7,"Long"
"Gladys",6,"Long"
"Rita",4,"Short"
"Dawn",4,"Short"
"Connie",6,"Long"
"Florence",8,"Long"
"Tracy",5,"Long"
"Edna",4,"Short"
"Tiffany",7,"Long"
"Carmen",6,"Long"
"Rosa",4,"Short"
"Cindy",5,"Long"
"Grace",5,"Long"
"Wendy",5,"Long"
"Victoria",8,"Long"
"Edith",5,"Long"
"Kim",3,"Short"
"Sherry",6,"Long"
"Sylvia",6,"Long"
"Josephine",9,"Long"
"Thelma",6,"Long"
"Shannon",7,"Long"
"Sheila",6,"Long"
"Ethel",5,"Long"
"Ellen",5,"Long"
